"Stkcd","Trddt","AdjClose","LogRet"
600741,2000-02-18,56.844321,0.0171581948319286
678,2000-02-21,19.561474,-0.0275668659724988
868,2000-02-21,8.071688,0.0522994727956392
600006,2000-02-21,5.48,0.0956752099233626
600151,2000-02-21,15.579992,0.034610000885154
600741,2000-02-21,57.601124,0.0132257606526824
678,2000-02-22,18.974225,-0.0304805404077895
868,2000-02-22,8.16423,0.0113997868417677
600006,2000-02-22,5.15,-0.0621083862842795
600151,2000-02-22,14.649993,-0.061547669316389
600741,2000-02-22,57.180678,-0.00732603728371295
678,2000-02-23,18.407226,-0.0303381743198776
868,2000-02-23,8.565244,0.0479502023877578
600006,2000-02-23,5.07,-0.0156558970725529
600151,2000-02-23,14.919993,0.0182622679593414
600741,2000-02-23,56.423875,-0.0133236595825501
678,2000-02-24,18.609726,0.0109410423657574
868,2000-02-24,8.349313,-0.0255333593741462
600006,2000-02-24,5.08,0.00197044398729873
600151,2000-02-24,15.259993,0.0225324415340058
600741,2000-02-24,58.02157,0.0279224534276832
678,2000-02-25,18.974225,0.0193971319541202
868,2000-02-25,8.092253,-0.0312720757647513
600006,2000-02-25,5.03,-0.00989127747874274
600151,2000-02-25,15.779992,0.0335082413061412
600741,2000-02-25,57.138633,-0.015334365141495
678,2000-02-28,19.966474,0.0509730877582149
868,2000-02-28,8.184795,0.0113709804298296
600151,2000-02-28,16.099992,0.0200759666491335
600741,2000-02-28,58.862462,0.0297230971768903
678,2000-02-29,19.095725,-0.0445900789798697
868,2000-02-29,8.081971,-0.0126423862648233
600006,2000-02-29,5.14,0.0216330953554258
600151,2000-02-29,15.849992,-0.0156497795045829
600741,2000-02-29,59.072685,0.00356506483441521
678,2000-03-01,19.055225,-0.00212314583063611
868,2000-03-01,8.318466,0.0288420844048507
600006,2000-03-01,5.11,-0.00585367525146063
600151,2000-03-01,15.399993,-0.0288019407172757
600741,2000-03-01,59.072685,0
678,2000-03-02,18.589476,-0.0247457280418715
868,2000-03-02,8.46242,0.017157321888555
600006,2000-03-02,5.01,-0.0197634891188396
600151,2000-03-02,15.499992,0.00647245292201015
600741,2000-03-02,60.880604,0.0301459998290179
678,2000-03-03,18.548976,-0.0021810287652535
868,2000-03-03,8.524114,0.00726390342724281
600006,2000-03-03,5.08,0.0138753464936172
600151,2000-03-03,15.299993,-0.0129871369140906
600741,2000-03-03,61.889675,0.0164387298246709
678,2000-03-06,18.620983,0.00387447777804661
868,2000-03-06,8.781174,0.0297110235425402
600006,2000-03-06,5.12,0.0078431774610257
600151,2000-03-06,14.699993,-0.0400053532878442
600741,2000-03-06,58.442016,-0.0573182812778485
678,2000-03-07,18.433733,-0.0101067617903419
868,2000-03-07,8.986823,0.0231492816748231
